id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,486,1,0.75,9.8765e-02,4.0942e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,2,0.75,7.4074e-02,4.0046e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,3,0.75,7.4074e-02,3.8636e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,4,0.75,7.4074e-02,3.7997e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,5,0.75,7.4074e-02,3.7590e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,6,0.75,7.4074e-02,3.7334e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,7,0.75,7.4074e-02,3.7195e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,8,0.75,7.4074e-02,3.7104e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,9,0.75,7.4074e-02,3.7017e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,10,0.75,7.4074e-02,3.6946e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,11,0.75,7.4074e-02,3.6879e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,12,0.75,7.4074e-02,3.6798e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,13,0.75,7.4074e-02,3.6714e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,14,0.75,7.4074e-02,3.6597e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,15,0.75,7.4074e-02,3.6432e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,16,0.75,7.4074e-02,3.6166e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,17,0.75,8.6420e-02,3.5760e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,18,0.75,9.8765e-02,3.5071e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,19,0.75,9.8765e-02,3.4047e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,20,0.75,1.3580e-01,3.2850e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,21,0.75,1.4815e-01,3.1519e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,22,0.75,1.8519e-01,3.0509e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,23,0.75,2.4691e-01,2.9709e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,24,0.75,2.5926e-01,2.8833e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,25,0.75,2.8395e-01,2.7924e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,26,0.75,3.0864e-01,2.6828e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,27,0.75,4.0741e-01,2.5787e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,28,0.75,3.9506e-01,2.4843e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,29,0.75,4.1975e-01,2.4127e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
1,486,30,0.75,4.3210e-01,2.3192e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,1,0.75,4.9383e-02,4.1054e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,2,0.75,4.9383e-02,4.0444e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,3,0.75,6.1728e-02,3.9238e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,4,0.75,4.9383e-02,3.7986e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,5,0.75,6.1728e-02,3.7499e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,6,0.75,4.9383e-02,3.7277e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,7,0.75,4.9383e-02,3.7135e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,8,0.75,4.9383e-02,3.7031e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,9,0.75,4.9383e-02,3.6946e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,10,0.75,4.9383e-02,3.6876e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,11,0.75,4.9383e-02,3.6810e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,12,0.75,4.9383e-02,3.6751e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,13,0.75,4.9383e-02,3.6693e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,14,0.75,4.9383e-02,3.6630e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,15,0.75,4.9383e-02,3.6564e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,16,0.75,4.9383e-02,3.6487e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,17,0.75,4.9383e-02,3.6398e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,18,0.75,4.9383e-02,3.6275e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,19,0.75,4.9383e-02,3.6127e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,20,0.75,4.9383e-02,3.5931e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,21,0.75,6.1728e-02,3.5689e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,22,0.75,4.9383e-02,3.5409e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,23,0.75,7.4074e-02,3.5023e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,24,0.75,1.2346e-01,3.4509e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,25,0.75,1.1111e-01,3.3965e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,26,0.75,1.4815e-01,3.3263e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,27,0.75,1.7284e-01,3.2361e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,28,0.75,1.8519e-01,3.1253e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,29,0.75,2.2222e-01,2.9847e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
2,487,30,0.75,2.4691e-01,2.8656e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,1,0.75,7.4074e-02,4.0998e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,2,0.75,7.4074e-02,4.0204e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,3,0.75,6.1728e-02,3.8757e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,4,0.75,6.1728e-02,3.7750e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,5,0.75,6.1728e-02,3.7273e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,6,0.75,6.1728e-02,3.7048e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,7,0.75,7.4074e-02,3.6894e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,8,0.75,7.4074e-02,3.6782e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,9,0.75,7.4074e-02,3.6685e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,10,0.75,7.4074e-02,3.6607e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,11,0.75,7.4074e-02,3.6540e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,12,0.75,7.4074e-02,3.6478e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,13,0.75,7.4074e-02,3.6420e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,14,0.75,7.4074e-02,3.6357e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,15,0.75,7.4074e-02,3.6280e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,16,0.75,7.4074e-02,3.6187e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,17,0.75,7.4074e-02,3.6059e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,18,0.75,7.4074e-02,3.5888e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,19,0.75,7.4074e-02,3.5649e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,20,0.75,9.8765e-02,3.5306e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,21,0.75,6.1728e-02,3.4708e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,22,0.75,1.1111e-01,3.3783e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,23,0.75,1.1111e-01,3.2348e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,24,0.75,1.3580e-01,3.0959e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,25,0.75,1.6049e-01,2.9641e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,26,0.75,1.7284e-01,2.8557e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,27,0.75,1.8519e-01,2.7593e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,28,0.75,1.8519e-01,2.6609e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,29,0.75,2.2222e-01,2.5720e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
3,488,30,0.75,2.7160e-01,2.4957e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
4,489,1,0.75,6.1728e-02,4.0875e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
4,489,2,0.75,4.9383e-02,3.9413e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
4,489,3,0.75,4.9383e-02,3.8102e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
4,489,4,0.75,4.9383e-02,3.7608e+00,1.3954e-02,2.1658e-01,3.2251e+05,323
