id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,218,1,0.75,8.6917e-01,1.4991e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,2,0.75,9.1083e-01,5.6024e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,3,0.75,9.4000e-01,3.0173e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,4,0.75,9.3750e-01,2.1618e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,5,0.75,9.4750e-01,1.7359e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,6,0.75,9.5167e-01,1.6089e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,7,0.75,9.4583e-01,1.5009e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,8,0.75,9.5250e-01,1.3465e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,9,0.75,9.5750e-01,1.2087e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,10,0.75,9.5750e-01,1.1097e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,11,0.75,9.5583e-01,1.0511e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,12,0.75,9.5833e-01,9.8337e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,13,0.75,9.5167e-01,9.6431e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,14,0.75,9.6250e-01,8.8931e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
1,218,15,0.75,9.5750e-01,8.5358e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,1,0.75,7.9083e-01,1.6429e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,2,0.75,8.9500e-01,6.5616e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,3,0.75,9.0250e-01,3.1456e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,4,0.75,8.9167e-01,2.2948e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,5,0.75,9.2667e-01,1.8843e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,6,0.75,9.2667e-01,1.5714e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,7,0.75,9.2250e-01,1.4446e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,8,0.75,9.3583e-01,1.3076e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,9,0.75,9.3000e-01,1.2539e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,10,0.75,9.4667e-01,1.1152e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,11,0.75,9.6083e-01,1.0238e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,12,0.75,9.5833e-01,9.7335e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,13,0.75,9.5750e-01,9.1902e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,14,0.75,9.5250e-01,9.0371e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
2,219,15,0.75,9.5167e-01,8.2408e-02,5.5057e-02,1.9118e-01,3.1596e+05,4800
3,220,1,0.75,7.8583e-01,1.8553e+00,5.5057e-02,1.9118e-01,3.1596e+05,4800
3,220,2,0.75,8.9667e-01,5.1436e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
3,220,3,0.75,9.1750e-01,2.8380e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
3,220,4,0.75,9.3750e-01,2.0452e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
3,220,5,0.75,9.4333e-01,1.6598e-01,5.5057e-02,1.9118e-01,3.1596e+05,4800
