id_esperimento,seed,round,p_profile,accuracy,loss,energia(J),banda(MB),flops_inferenza,samples
1,218,1,0.50,5.8917e-01,2.1242e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,2,0.50,8.9250e-01,7.0482e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,3,0.50,9.0000e-01,4.0287e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,4,0.50,9.1333e-01,2.6443e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,5,0.50,9.4167e-01,2.0153e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,6,0.50,9.5583e-01,1.7286e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,7,0.50,9.5917e-01,1.5030e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,8,0.50,9.5833e-01,1.3630e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,9,0.50,9.6167e-01,1.2830e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,10,0.50,9.6750e-01,1.2216e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,11,0.50,9.7000e-01,1.1464e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,12,0.50,9.6750e-01,1.1000e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,13,0.50,9.7000e-01,1.0120e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,14,0.50,9.7000e-01,9.8468e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
1,218,15,0.50,9.6917e-01,9.3688e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,1,0.50,4.6917e-01,2.2381e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,2,0.50,9.1000e-01,7.9541e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,3,0.50,9.3250e-01,4.1020e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,4,0.50,9.3500e-01,2.5574e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,5,0.50,9.4250e-01,2.0550e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,6,0.50,9.4167e-01,1.6903e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,7,0.50,9.5083e-01,1.4768e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,8,0.50,9.5167e-01,1.3485e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,9,0.50,9.6417e-01,1.2513e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,10,0.50,9.6500e-01,1.1805e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,11,0.50,9.6583e-01,1.0696e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,12,0.50,9.7750e-01,1.0574e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,13,0.50,9.6500e-01,9.9277e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,14,0.50,9.7083e-01,9.5016e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
2,219,15,0.50,9.7500e-01,9.2118e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,1,0.50,2.8250e-01,2.2844e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,2,0.50,8.7000e-01,9.0651e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,3,0.50,9.0833e-01,4.0206e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,4,0.50,9.2167e-01,2.5620e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,5,0.50,9.3167e-01,2.0368e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,6,0.50,9.3500e-01,1.6851e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,7,0.50,9.5000e-01,1.4872e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,8,0.50,9.5083e-01,1.3486e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,9,0.50,9.5000e-01,1.3077e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,10,0.50,9.6500e-01,1.1792e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,11,0.50,9.5917e-01,1.0465e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,12,0.50,9.4917e-01,9.8559e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,13,0.50,9.6167e-01,9.1373e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,14,0.50,9.5417e-01,9.3643e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
3,220,15,0.50,9.4833e-01,8.5237e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,1,0.50,7.0667e-01,1.9330e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,2,0.50,8.9833e-01,6.3417e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,3,0.50,9.3167e-01,3.6381e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,4,0.50,9.4000e-01,2.4057e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,5,0.50,9.4500e-01,1.9811e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,6,0.50,9.5500e-01,1.6133e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,7,0.50,9.5583e-01,1.3639e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,8,0.50,9.5917e-01,1.1414e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,9,0.50,9.6417e-01,1.0327e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,10,0.50,9.6250e-01,9.0501e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,11,0.50,9.7000e-01,8.1453e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,12,0.50,9.6417e-01,7.6055e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,13,0.50,9.6917e-01,7.1939e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,14,0.50,9.7167e-01,7.0220e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
4,221,15,0.50,9.7333e-01,6.4372e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,1,0.50,4.1083e-01,2.2970e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,2,0.50,8.8167e-01,7.9998e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,3,0.50,9.1583e-01,3.3429e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,4,0.50,9.1833e-01,2.4768e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,5,0.50,9.3083e-01,1.9721e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,6,0.50,9.3833e-01,1.6451e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,7,0.50,9.4500e-01,1.5228e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,8,0.50,9.5500e-01,1.4270e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,9,0.50,9.5250e-01,1.3388e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,10,0.50,9.6083e-01,1.2907e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,11,0.50,9.5583e-01,1.2040e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,12,0.50,9.6167e-01,1.1302e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,13,0.50,9.6333e-01,1.0392e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,14,0.50,9.6083e-01,9.7229e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
5,222,15,0.50,9.6750e-01,9.3179e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,1,0.50,1.5333e-01,2.2995e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,2,0.50,8.9500e-01,1.1666e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,3,0.50,9.2833e-01,4.7254e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,4,0.50,9.3417e-01,2.7772e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,5,0.50,9.4583e-01,2.3334e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,6,0.50,9.5417e-01,1.9331e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,7,0.50,9.5583e-01,1.6303e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,8,0.50,9.6250e-01,1.4461e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,9,0.50,9.6583e-01,1.3415e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,10,0.50,9.6667e-01,1.1874e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,11,0.50,9.5917e-01,1.1625e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,12,0.50,9.6333e-01,1.0814e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,13,0.50,9.6417e-01,1.0120e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,14,0.50,9.6667e-01,9.7431e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
6,223,15,0.50,9.6583e-01,9.3900e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,1,0.50,4.7000e-01,2.2785e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,2,0.50,9.0417e-01,7.2588e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,3,0.50,9.2750e-01,3.3156e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,4,0.50,9.4083e-01,2.4576e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,5,0.50,9.4417e-01,2.0134e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,6,0.50,9.4750e-01,1.5629e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,7,0.50,9.4417e-01,1.4481e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,8,0.50,9.5250e-01,1.2262e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,9,0.50,9.6333e-01,1.1379e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,10,0.50,9.6500e-01,1.0458e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,11,0.50,9.7417e-01,9.9161e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,12,0.50,9.7500e-01,9.3486e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,13,0.50,9.7167e-01,9.0020e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,14,0.50,9.7000e-01,8.7857e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
7,224,15,0.50,9.7417e-01,8.1117e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,1,0.50,3.5917e-01,2.2553e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,2,0.50,9.1167e-01,8.0028e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,3,0.50,9.3917e-01,3.4167e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,4,0.50,9.4333e-01,2.3022e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,5,0.50,9.5417e-01,1.8762e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,6,0.50,9.5917e-01,1.6638e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,7,0.50,9.5833e-01,1.4960e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,8,0.50,9.6583e-01,1.3672e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,9,0.50,9.7250e-01,1.2583e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,10,0.50,9.7500e-01,1.1797e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,11,0.50,9.8250e-01,1.0781e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,12,0.50,9.7083e-01,1.0481e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,13,0.50,9.7167e-01,9.7539e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,14,0.50,9.6833e-01,9.4831e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
8,225,15,0.50,9.7500e-01,9.1705e-02,3.0915e-02,8.7112e-02,1.8444e+05,4800
9,226,1,0.50,2.0667e-01,2.3001e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
9,226,2,0.50,8.6917e-01,1.0445e+00,3.0915e-02,8.7112e-02,1.8444e+05,4800
9,226,3,0.50,9.1167e-01,5.3023e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
9,226,4,0.50,9.2500e-01,2.8280e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
9,226,5,0.50,9.3333e-01,2.1968e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
9,226,6,0.50,9.4250e-01,1.9003e-01,3.0915e-02,8.7112e-02,1.8444e+05,4800
